Customer ID,Recency,Frequency,Monetary,Cluster,Segment
12346,326,12,77556.46,3,Champions
12347,2,8,5633.32,3,Champions
12348,75,5,2019.4,2,Loyal Customers
12349,19,4,4428.69,2,Loyal Customers
12350,310,1,334.4,0,At-Risk Customers
12351,375,1,300.93,0,At-Risk Customers
12352,36,10,2849.84,2,Loyal Customers
12353,204,2,406.76,1,Potential Loyalists
12354,232,1,1079.4,1,Potential Loyalists
12355,214,2,947.61,1,Potential Loyalists
12356,23,6,6373.68,2,Loyal Customers
12357,33,3,18287.66,2,Loyal Customers
12358,2,5,3887.07,2,Loyal Customers
12359,58,10,8935.94,3,Champions
12360,52,8,4252.89,2,Loyal Customers
12361,287,4,511.25,1,Potential Loyalists
12362,3,11,5356.23,3,Champions
12363,110,2,552.0,1,Potential Loyalists
12364,8,4,1313.1,2,Loyal Customers
12365,291,2,641.38,1,Potential Loyalists
12366,634,1,500.24,0,At-Risk Customers
12367,4,1,168.9,1,Potential Loyalists
12368,628,1,917.7,0,At-Risk Customers
12369,413,3,1791.15,0,At-Risk Customers
12370,51,7,4320.31,2,Loyal Customers
12371,45,5,4067.38,2,Loyal Customers
12372,72,3,1298.04,2,Loyal Customers
12373,311,3,1127.65,2,Loyal Customers
12374,25,4,2989.22,2,Loyal Customers
12375,11,2,457.5,1,Potential Loyalists
12376,390,2,503.15,0,At-Risk Customers
12377,315,4,3426.32,2,Loyal Customers
12378,130,2,5416.32,2,Loyal Customers
12379,82,4,1620.22,2,Loyal Customers
12380,22,11,9676.3,3,Champions
12381,5,5,1845.31,2,Loyal Customers
12383,185,5,1850.56,2,Loyal Customers
12384,29,2,585.27,1,Potential Loyalists
12385,379,1,1938.4,0,At-Risk Customers
12386,338,2,660.8,0,At-Risk Customers
12387,415,1,143.94,0,At-Risk Customers
12388,16,8,3901.11,2,Loyal Customers
12389,403,3,1433.33,0,At-Risk Customers
12390,80,1,549.84,1,Potential Loyalists
12391,22,6,2773.42,2,Loyal Customers
12392,591,1,234.75,0,At-Risk Customers
12393,72,6,2399.45,2,Loyal Customers
12394,64,2,1272.48,2,Loyal Customers
12395,19,15,5067.27,3,Champions
12396,674,1,931.43,0,At-Risk Customers
12397,36,2,2409.9,2,Loyal Customers
12398,46,1,1635.66,1,Potential Loyalists
12399,119,7,1962.3,2,Loyal Customers
12400,414,1,205.25,0,At-Risk Customers
12401,303,1,84.3,0,At-Risk Customers
12402,323,6,1256.9,2,Loyal Customers
12403,50,2,1019.36,1,Potential Loyalists
12404,682,1,63.24,0,At-Risk Customers
12405,149,1,1710.39,1,Potential Loyalists
12406,22,5,6390.36,2,Loyal Customers
12407,50,5,1708.12,2,Loyal Customers
12408,33,8,4340.77,2,Loyal Customers
12409,79,7,23419.29,3,Champions
12410,309,3,1013.71,2,Loyal Customers
12411,410,1,346.9,0,At-Risk Customers
12412,75,6,2596.93,2,Loyal Customers
12413,67,4,999.45,2,Loyal Customers
12414,217,6,952.41,2,Loyal Customers
12415,24,28,144458.37,3,Champions
12416,657,1,202.56,0,At-Risk Customers
12417,3,20,6816.91,3,Champions
12418,113,4,2021.2,2,Loyal Customers
12419,386,2,503.01,0,At-Risk Customers
12420,64,1,600.39,1,Potential Loyalists
12421,16,6,1098.6,2,Loyal Customers
12422,96,17,5231.8,3,Champions
12423,1,10,2622.39,2,Loyal Customers
12424,163,4,3340.03,2,Loyal Customers
12425,78,2,1741.41,2,Loyal Customers
12426,195,2,1345.21,2,Loyal Customers
12427,22,3,1129.3,2,Loyal Customers
12428,26,9,7956.46,3,Champions
12429,9,8,7485.91,3,Champions
12430,43,1,256.4,1,Potential Loyalists
12431,36,27,10857.97,3,Champions
12432,43,5,5059.32,2,Loyal Customers
12433,1,10,20581.26,3,Champions
